曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
まっすぐ→→→ストリーム！,1502,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7 | DX 10+ | DX 13,184,BUDDiES PLUS,2024-08-30,否,まっすぐ→→→ストリーム！|右右右|千夏冲击！|→→→,1191,ゲキマイ,曲：本多友紀（Arte Refact）／歌：日向 千夏(CV：岡咲 美保),STD 3 | STD 6 | STD 9 | STD 13,184,CHUNITHM NEW,千夏火箭
スティールユー,1492,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 11 | DX 13,190,BUDDiES PLUS,2024-07-19,否,スティールユー|steelyou|钢铁般的你|steal you,1255,niconico,Omoi「#コンパス」,STD 3 | STD 6 | STD 9+ | STD 12+,190,SUN,
ラヴィ,1491,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 10+ | DX 13,183,BUDDiES PLUS,2024-07-19,否,ラヴィ|lavie|拉薇|拉比|纳里纳里|lavi,1735,niconico,すりぃ,STD 3 | STD 6 | STD 9+ | STD 13 | STD 14+,183,X-VERSE,
Make Up Your World feat. キョンシーのCiちゃん & らっぷびと,1484,DX,ゲーム＆バラエティ,DX 5 | DX 7+ | DX 10+ | DX 13,180,BUDDiES PLUS,2024-07-05,否,make up your world feat. キョンシーのciちゃん & らっぷびと,1573,VARIETY,t+pazolite & Srav3R,STD 3 | STD 6 | STD 10+ | STD 13,180,LUMINOUS PLUS,
INFiNiTE ENERZY -Overdoze-,1477,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 13 | DX 14,180,BUDDiES PLUS,2024-06-07,否,infinite enerzy -overdoze-|ieo|坟头自拍|坟前|坟头拍照|坟前自拍|无限力量依赖|🧺子|无限能量|am2,1679,VARIETY,Reku Mochizuki,STD 4 | STD 7 | STD 13 | STD 14,180,VERSE,屁股肉|臀大肌|判定线不动最多16.3|infinity overdoze
ザムザ,1471,DX,niconico＆ボーカロイド,DX 1 | DX 6 | DX 9+ | DX 12+,121,BUDDiES PLUS,2024-05-24,否,ザムザ|萨姆沙|阿萨姆|samsa|砸木砸,1708,niconico,てにをは,STD 2 | STD 5 | STD 9+ | STD 13+,121,VERSE,
バカ通信,1470,DX,niconico＆ボーカロイド,DX 5 | DX 7+ | DX 11 | DX 13+,240,BUDDiES PLUS,2024-05-24,否,バカ通信|笨蛋通信|琪露诺通信|八力通信|笨蛋通讯|八力通讯|通信|baka通信|八嘎通信|泡通信|9通信|⑨通信,1844,niconico,isonosuke,STD 4 | STD 7+ | STD 11 | STD 14,240,X-VERSE-X,
ライアーダンサー,1469,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13,170,BUDDiES PLUS,2024-05-24,否,ライアーダンサー|谎言舞者|蓝牙舞者|liardancer|ld|蓝牙|哦多累|蓝牙单色|liar dancer|铁托摇|欧都累,1686,niconico,マサラダ,STD 3 | STD 6 | STD 9 | STD 13,170,VERSE,
新人類,1467,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10+ | DX 13+,144,BUDDiES PLUS,2024-05-24,否,新人類|镜音铃|新人类,1672,niconico,まらしぃ×じん×堀江晶太(kemu) feat.鏡音リン,STD 3 | STD 5 | STD 9 | STD 13+,144,VERSE,新人类
おくすり飲んで寝よう,1462,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9+ | DX 12+,130,BUDDiES PLUS,2024-04-26,否,おくすり飲んで寝よう|吃药|吃完药就睡觉|吃完药就睡觉吧|吃完药睡觉|吃药睡觉|吃完药药睡觉觉|吃了药就去睡吧|吃完药躺板板|药娘,1556,niconico,もちうつね,STD 3 | STD 6 | STD 9 | STD 12+,130,LUMINOUS PLUS,
サイバーサンダーサイダー,1461,DX,niconico＆ボーカロイド,DX 4 | DX 6 | DX 10+ | DX 13+,145,BUDDiES PLUS,2024-04-26,否,サイバーサンダーサイダー|火柴人|ctc|小人打拳|cyber thunder cider|粉笔人,363,niconico,EZFG,STD 3 | STD 5 | STD 10 | STD 14,145,CHUNITHM NEW,Cyber Thunder Cider
ouroboros -twin stroke of the end-,1458,DX,ゲーム＆バラエティ,DX 6 | DX 9 | DX 12 | DX 14,188,BUDDiES PLUS,2024-04-12,否,ouroboros -twin stroke of the end-|衔尾蛇|我们的菠萝,462,VARIETY,Cranky VS MASAKI「グルーヴコースター 3EX ドリームパーティー」より,STD 3 | STD 8 | STD 10+ | STD 14+,188,AMAZON,衔尾蛇
VOLT,1456,DX,ゲーム＆バラエティ,DX 3 | DX 7 | DX 10+ | DX 13,174,BUDDiES PLUS,2024-04-12,否,volt|伏特,1662,VARIETY,aran「グルーヴコースター」,STD 3 | STD 6 | STD 10+ | STD 13+,174,VERSE,伏特
MUSIC PЯAYER,1454,DX,オンゲキ＆CHUNITHM,DX 4 | DX 6 | DX 10 | DX 13+,168,BUDDiES PLUS,2024-04-01,否,music pяayer|musicprayer|幻想回廊|音祷|音乐播放器,36,ORIGINAL,A-One,STD 3 | STD 6 | STD 10 | STD 14 | STD 14+,168,CHUNITHM PLUS,music prayer
壱雫空,1443,DX,POPS＆アニメ,DX 3 | DX 7 | DX 11 | DX 13+,204,BUDDiES PLUS,2024-03-21,否,壱雫空|木柜子|咕咕嘎嘎|mygo|老下空|它下空|一滴雨|粉色奶龙|匕下工|🐧|壳卡空|那啥空|一雫空|高松灯|卖狗|五把伞|士冖匕雨下空|卖沟|某某空|一休尼|一拿空|又有一集开始了,1588,POPS & ANIME,MyGO!!!!!,STD 3 | STD 5 | STD 10+ | STD 14,204,LUMINOUS PLUS,mygo
匿名M,1442,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 12+,140,BUDDiES PLUS,2024-03-21,否,匿名m|请不要人肉我哦|初音采访,1557,niconico,ピノキオピー,STD 3 | STD 6 | STD 8+ | STD 13,140,LUMINOUS PLUS,
New York Back Raise,1441,DX,ゲーム＆バラエティ,DX 3 | DX 7+ | DX 12+ | DX 13+,160,BUDDiES PLUS,2024-03-21,否,new york back raise|纽约赌场|nybr|赌场|德州扑克|努力哥输给天赋比|四条输给皇家同花顺|皇家同花顺|纽约回升|新约克回来赌|赌博,1468,VARIETY,saaa + kei_iwata + stuv + わかどり,STD 3 | STD 7 | STD 11+ | STD 14,160,LUMINOUS,纽约赌场|赌场
酔いどれ知らず,1438,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8 | DX 11+ | DX 13,115,BUDDiES PLUS,2024-03-21,否,酔いどれ知らず|不知醉,1333,niconico,Kanaria,STD 2 | STD 5 | STD 10 | STD 13+,115,SUN PLUS,不知醉
ラビットホール,1437,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9+ | DX 11+ | DX 13,173,BUDDiES PLUS,2024-03-21,否,ラビットホール|兔子洞|rabbithole|初音未来下海|rabbit hole,1697,niconico,DECO*27,STD 3 | STD 7 | STD 11 | STD 13+,173,VERSE,
アイドル,1436,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9+ | DX 11 | DX 13,166,BUDDiES PLUS,2024-03-21,否,アイドル|爱豆|偶像|idol|我推的孩子|推子,1436,POPS & ANIME,YOASOBI,STD 3 | STD 5 | STD 9+ | STD 12+,166,LUMINOUS,星野爱|idol|偶像
寝起きヤシの木,1435,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9+ | DX 12+,160,BUDDiES PLUS,2024-03-21,否,寝起きヤシの木|早起椰树头|歌爱冲刺|早起冲天炮|寝起,1538,niconico,ゆこぴ,STD 3 | STD 6 | STD 9 | STD 12+,160,LUMINOUS PLUS,
強風オールバック,1434,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 12+,135,BUDDiES PLUS,2024-03-21,否,強風オールバック|强风大背头|强风才一儿|歌爱雪切菜,1439,niconico,ゆこぴ,STD 2 | STD 5 | STD 8+ | STD 12+,135,LUMINOUS,强风大背头|强风
過去を喰らう,1433,DX,POPS＆アニメ,DX 4 | DX 7 | DX 10 | DX 13,187,BUDDiES PLUS,2024-03-21,否,過去を喰らう|吞噬过去|花谱|吃过去,1156,POPS & ANIME,花譜,STD 3 | STD 5 | STD 9+ | STD 12+,187,CHUNITHM NEW PLUS,吞噬过去
INTERNET YAMERO,1432,DX,POPS＆アニメ,DX 4 | DX 7+ | DX 10+ | DX 11+ | DX 13+,185,BUDDiES PLUS,2024-03-21,否,internet yamero|地雷女2|超天酱2|快远离互联网|卷纸maimai|互联网太棒了|躁郁症|†升天†|马赛克2|200个绝赞|朝天椒2|地雷女不要啊|互联网毁了我|yamero,1506,POPS & ANIME,Aiobahn feat. KOTOKO「NEEDY GIRL OVERDOSE」,STD 3 | STD 7 | STD 10 | STD 14,185,LUMINOUS,地雷女|超天酱
MarbleBlue.,1431,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 12+ | DX 14,198,BUDDiES PLUS,2024-03-21,否,marbleblue.|妈宝蓝,1447,ゲキマイ,MisoilePunch♪,STD 4 | STD 8+ | STD 13+ | STD 15,198,LUMINOUS,妈宝蓝|大理石蓝|蓝弹珠
Λzure Vixen,1430,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 13 | DX 14+,163,BUDDiES PLUS,2024-03-21,否,λzure vixen|av|凯南|猩红凝视|我独自升级|维导|蓝的狐|azure vixen|有格调,1164,ORIGINAL,かめりあ,STD 4 | STD 8+ | STD 13+ | STD 15+,163,CHUNITHM NEW PLUS,av|高塔|azurevixen|老公|azure vixen|理财产品|失控银河
WE'RE BACK!!,1419,DX,オンゲキ＆CHUNITHM,DX 4 | DX 8 | DX 12 | DX 14,185,BUDDiES,2024-02-29,否,we're back!!|我们回来了|我们是背|weareback,1162,ORIGINAL,Zekk,STD 3 | STD 7 | STD 12+ | STD 14+,185,CHUNITHM NEW PLUS,我们回来了|老公
インパアフェクシオン・ホワイトガアル,1418,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 11 | DX 14,207,BUDDiES,2024-02-29,否,インパアフェクシオン・ホワイトガアル|文学少女|不完美少女|月乃|不完美白色女孩|霸道总裁爱上我|不完美的白色少女|不完美的白之少女|不完美的白色女孩|白女|冴川芽依|女孩看书,1210,ORIGINAL,ツミキ feat.月乃,STD 3 | STD 6 | STD 10+ | STD 14,207,SUN,不完美白色女孩|积木月乃|imperfection|冴川芽依|霸道总裁爱上我|紫毛读书|imperfection white girl
Ring,1417,DX,オンゲキ＆CHUNITHM,DX 2 | DX 6 | DX 9+ | DX 12+,132,BUDDiES,2024-02-29,否,ring,911,ORIGINAL,R Sound Design feat.向日葵,STD 3 | STD 5 | STD 8+ | STD 11+,132,CHUNITHM NEW,
ジェヘナ,1413,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 13,128,BUDDiES,2024-02-16,否,ジェヘナ|地狱|gehenna,1656,niconico,wotaku,STD 2 | STD 5 | STD 10 | STD 14,128,VERSE,
渦状銀河のシンフォニエッタ,1412,DX/STD,maimai,DX 3 | DX 8 | DX 11+ | DX 14+ ; STD 5 | STD 9 | STD 12+ | STD 14,238,BUDDiES,2020-08-07,否,渦状銀河のシンフォニエッタ|标抽水马桶|标银河|标马桶|标涡状银河|涡状银河交响曲|涡状马桶|涡状银河|抽水马桶|银河|涡状台风|冲水马桶|马桶|🚽|涡状伊岛|涡状银河的小交响曲|漩涡马桶,1790,ゲキマイ,山本真央樹,STD 4 | STD 7 | STD 12+ | STD 15,238,X-VERSE,
あなたは世界の終わりにずんだを食べるのだ,1405,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9+ | DX 12+,140,BUDDiES,2024-01-26,否,あなたは世界の終わりにずんだを食べるのだ|海鲜味毛豆|你在这世界的终焉，吃下了俊达|世界终食|俊达萌被吃|俊达萌打电报|俊达萌发电报|世终俊达|食终孤独|摩斯密码|在世界末日吃掉了俊达|摩斯电码|俊达萌|电报|俊达萌流口水|世界终,1393,niconico,なみぐる,STD 2 | STD 5 | STD 7+ | STD 12+,140,SUN PLUS,
神威,1383,DX,ゲーム＆バラエティ,DX 6 | DX 8+ | DX 12+ | DX 14+,210,BUDDiES,2023-12-09,否,神威|太湖之光|kamui,271,VARIETY,TJ.hangneil,STD 5 | STD 8+ | STD 13+ | STD 15,210,AIR PLUS,
トンデモワンダーズ,1381,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13+,172,BUDDiES,2023-12-09,否,トンデモワンダーズ|不可思议的wonders|不可思议的奇迹|不可思议的wonder|世界解体还有10秒,1201,niconico,sasakure.UK,STD 3 | STD 6 | STD 11 | STD 13+,172,SUN,
story,1380,DX,POPS＆アニメ,DX 3 | DX 7+ | DX 10+ | DX 12,220,BUDDiES,2023-11-24,否,,1389,POPS & ANIME,前島麻由「異世界おじさん」,STD 3 | STD 7 | STD 10 | STD 13+,220,SUN PLUS,
Energizing Flame,1373,DX,maimai,DX 6 | DX 8 | DX 12+ | DX 14,201,BUDDiES,2023-10-20,否,energizing flame|能量火焰|瑞文皇帝2|粉色机娘|特蕾西娅|粉红机娘|机娘3|钢铁机娘2|ef|能量火|激励火焰|激发火焰,1740,ゲキマイ,Artifact vs. Dualcast,STD 4 | STD 7 | STD 12+ | STD 14,201,X-VERSE,
Burn My Soul,1368,DX,POPS＆アニメ,DX 4 | DX 7+ | DX 10 | DX 12+,180,BUDDiES,2023-10-12,否,burn my soul|红烧天堂|烧我的魂|燃烧吧我的中二魂,1221,POPS & ANIME,She is Legend「ヘブンバーンズレッド」,STD 3 | STD 5 | STD 9 | STD 12+,180,,
星界ちゃんと可不ちゃんのおつかい合騒曲,1367,DX,niconico＆ボーカロイド,DX 5 | DX 8 | DX 11+ | DX 13+,220,BUDDiES,2023-10-06,否,星界ちゃんと可不ちゃんのおつかい合騒曲|星界小姐和可不小姐的外出合奏曲|星界可不合骚曲|马赛克可不|马赛克|星界酱和可不酱的采购合奏曲|星界可不|星界|可不敢笑|猫抓板|圆头耄耋模拟器,1440,niconico,南ノ南,STD 3 | STD 7+ | STD 12 | STD 14,220,LUMINOUS,屎|ba|星姐
Latent Kingdom,1366,DX,maimai,DX 6 | DX 8 | DX 12+ | DX 14+,201,BUDDiES,2023-10-06,否,latent kingdom|曲师打架|lk|俩曲师打架|三十块|潜伏王国|大lk|三十块钱|老二大战大国奏音|老二vs大国奏音|东北商战|白魔爪vs黑魔爪|我售卖东北玉米|别样的小提琴大赛|两个男人拉小提琴|东北菜市场|我售卖东北竹笋|奏音快跑,1577,ゲキマイ,Laur vs 大国奏音,STD 4 | STD 9 | STD 13 | STD 15,201,LUMINOUS PLUS,lk|潜在王国
ノンブレス・オブリージュ,1365,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 13,148,BUDDiES,2023-10-06,否,ノンブレス・オブリージュ|喘不上来气|喘不上气|non-breath oblige|不要呼吸|我喘不上气儿|无呼吸|无呼吸义务|我喘不上气|看见光|萃萃薯条|我喘不上气我喘不上气|呼吸困难,1670,niconico,ピノキオピー,STD 3 | STD 7 | STD 10+ | STD 14,148,VERSE,
バグ,1353,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 10 | DX 11+ | DX 13+,186,BUDDiES,2023-09-14,否,バグ|八夕|mfy3|紫皮糖|故障|bug|月狼鸟了没分|八股|咕噜咕噜|爸爸的雷达,1479,niconico,かいりきベア,STD 3 | STD 6 | STD 10 | STD 13+,186,LUMINOUS,
さくゆいたいそう,1352,DX,POPS＆アニメ,DX 2 | DX 6 | DX 9+ | DX 12+,160,BUDDiES,2023-09-14,否,さくゆいたいそう|我等心友|sakuyui taisou|sakuyui exercise|咲唯体操|女同17|管人体操,1461,POPS & ANIME,さくゆい,STD 3 | STD 6 | STD 9+ | STD 11+,160,LUMINOUS,
青春コンプレックス,1351,DX,POPS＆アニメ,DX 3 | DX 7 | DX 10 | DX 11+ | DX 13+,190,BUDDiES,2023-09-14,否,,1324,POPS & ANIME,結束バンド「ぼっち・ざ・ろっく！」,STD 3 | STD 6 | STD 9 | STD 12+,190,SUN PLUS,孤独摇滚|青春症候群
1000年生きてる,1347,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 9 | DX 13,100,BUDDiES,2023-09-14,否,1000年生きてる|超越光2|别急24|超越窗|1000年生|千年|一千年生|千年生|壁尻|存活千年,1558,niconico,いよわ,STD 2 | STD 6 | STD 9+ | STD 12+,100,LUMINOUS PLUS,
熱異常,1346,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 10 | DX 12 | DX 13+,183,BUDDiES,2023-09-14,否,熱異常|热异常|冷正常|足立零,1559,niconico,いよわ,STD 3 | STD 7 | STD 11+ | STD 14,183,LUMINOUS PLUS,热异常
GEOMETRIC DANCE,1345,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 12 | DX 14,150,BUDDiES,2023-09-14,否,geometric dance|gd|几何跳舞|几何舞蹈|几何之舞|几何舞,1423,ゲキマイ,山本真央樹,STD 3 | STD 8+ | STD 12 | STD 14+,150,SUN PLUS,几何舞|理财产品
SQUAD-Phvntom-,1344,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 12+ | DX 14,200,BUDDiES,2023-09-14,否,squad-phvntom-|丝瓜|sp|quaso|战术小队|幻影小队|squad|幽灵小队|丝瓜饭桶,973,ORIGINAL,Getty vs DJ DiA,STD 4 | STD 7+ | STD 13 | STD 14+,200,CHUNITHM NEW,squad|squad phvntom
PUPA,1338,DX,ゲーム＆バラエティ,DX 6 | DX 7+ | DX 12+ | DX 14,202,BUDDiES,2023-09-14,否,pupa|🦋|蓝的蝶|拉瓦2|大蓝闪蝶|噗趴|蝶魔王|噗啪|扑爬|东方树叶茉莉花茶|蝴蝶|公交车|蓝蝴蝶|隐形的翅膀|扑棱蛾子,470,VARIETY,モリモリあつし,STD 4 | STD 7 | STD 11+ | STD 14+,202,AMAZON,蝴蝶|扑爬|蓝色蝴蝶|蓝蝴蝶
LAMIA,1337,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 13 | DX 14+,199,FESTiVAL PLUS,2023-09-01,否,lamia|战斗服宵崎奏|刹那|刹那拉面|拉米亚|拉弥亚|拉面,1336,ゲキマイ,BlackY,STD 3 | STD 9 | STD 14 | STD 15,199,SUN PLUS,刹那|香草|雅迪|拉面|拉米亚
Last Kingdom,1336,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 12 | DX 13+,150,FESTiVAL PLUS,2023-09-01,否,last kingdom|小lk|luke|lk|最后王国|最后的王国|终末帝|失落王国|拔小蒜,1152,ゲキマイ,USAO,STD 4 | STD 8 | STD 11 | STD 14,150,CHUNITHM NEW PLUS,最后王国|lk
Y.Y.Y.計画!!!!,1335,DX,オンゲキ＆CHUNITHM,DX 4 | DX 7+ | DX 10+ | DX 13,186,FESTiVAL PLUS,2023-09-01,否,y.y.y.計画!!!!|计画|yyy|yyy计画|yyy计划|世界计划,1167,ゲキマイ,曲：烏屋茶房／歌：R.B.P. [九條 楓(CV：佳村 はるか)、逢坂 茜(CV：大空 直美)、珠洲島 有栖(CV：長縄 まりあ)],STD 3 | STD 6 | STD 9+ | STD 12+,186,CHUNITHM NEW PLUS,YYY
STARRED HEART,1334,DX,オンゲキ＆CHUNITHM,DX 3 | DX 5 | DX 9+ | DX 12,140,FESTiVAL PLUS,2023-09-01,否,starred heart|星心,1323,ゲキマイ,曲：広川恵一 (MONACA)／歌：オンゲキシューターズ,STD 2 | STD 5 | STD 8 | STD 12,140,SUN PLUS,
絶対敵対メチャキライヤー,1333,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 9+ | DX 12+,190,FESTiVAL PLUS,2023-08-18,否,絶対敵対メチャキライヤー|绝对敌对|绝对敌对大讨厌|绝对敌对超级讨厌|宿敌就是宿敌啊,1623,niconico,メドミア,STD 3 | STD 6 | STD 10 | STD 13,190,VERSE,
ド屑,1332,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 9 | DX 13,115,FESTiVAL PLUS,2023-08-18,否,ド屑|头屑|追追|卜屑|屑|人渣|渣滓|兰立忠|大人渣,1375,niconico,なきそ,STD 2 | STD 6 | STD 10 | STD 13,115,SUN PLUS,
まにまに,1330,DX,niconico＆ボーカロイド,DX 4 | DX 7 | DX 9+ | DX 12+,174,FESTiVAL PLUS,2023-08-18,否,まにまに|manimani|马尼马尼|射箭|女人射箭|随之任之|🏹,1609,niconico,r-906,STD 3 | STD 6 | STD 10 | STD 13+,174,LUMINOUS PLUS,任之随之
超熊猫的周遊記（ワンダーパンダートラベラー）,1329,DX,maimai,DX 4 | DX 7+ | DX 12+ | DX 14+,121,FESTiVAL PLUS,2023-08-04,否,超熊猫的周遊記（ワンダーパンダートラベラー）|周游记|超雄猫|超熊猫的周游记|超熊猫|四川禁曲|超能猫|超雄|我们是幻想麒麟,1614,ゲキマイ,FANTAGIRAFF,STD 4 | STD 6 | STD 13 | STD 14+,158,LUMINOUS PLUS,超熊猫
テオ,1324,DX,niconico＆ボーカロイド,DX 5 | DX 7+ | DX 10+ | DX 13,185,FESTiVAL PLUS,2023-07-21,否,テオ|teo|天才|提欧|将手|亍才,565,niconico,Omoi,STD 3 | STD 6 | STD 8 | STD 13,185,AMAZON PLUS,将手|teo
Vallista,1323,DX,ゲーム＆バラエティ,DX 4 | DX 8 | DX 12+ | DX 14,180,FESTiVAL PLUS,2023-07-21,否,vallista|瓦里斯塔,81,VARIETY,削除,STD 4 | STD 6 | STD 10 | STD 14+,180,CHUNITHM,
Snow Colored Score,1312,DX,オンゲキ＆CHUNITHM,DX 2 | DX 6 | DX 9+ | DX 12+,164,FESTiVAL PLUS,2023-06-08,否,snow colored score|雪颜色分数|雪色分|scs|雪色记录,1355,イロドリミドリ,イロドリミドリ,STD 3 | STD 5 | STD 8+ | STD 11+ | STD 14,164,SUN PLUS,
つるぺったん,1309,DX,東方Project,DX 4 | DX 7+ | DX 10 | DX 12,180,FESTiVAL PLUS,2023-06-08,否,つるぺったん|醋溜便当2|醋溜便当|伊吹萃香|萃香|西瓜|平胸之歌,441,東方Project,Silver Forest,STD 3 | STD 6 | STD 8+ | STD 12+,180,STAR PLUS,贫乳便当
花となれ,1307,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8+ | DX 12,130,FESTiVAL PLUS,2023-05-26,否,花となれ|幻化成花|像花一样呐|成为一朵花|变成一朵花|可不呲牙|化成花|变成花|成为花朵|可不花,1371,niconico,雄之助　feat. 可不,STD 2 | STD 5 | STD 9 | STD 11+,130,SUN PLUS,
インターネットサバイバー,1306,DX,東方Project,DX 3 | DX 7 | DX 11 | DX 13,172,FESTiVAL PLUS,2023-05-26,否,インターネットサバイバー|网瘾二小姐|兰|东方超天酱|互联网幸存者|网络幸存者|互联网生存者|东方互联网|芙兰朵露重度依赖|东方女孩重度依赖|internet survivor|芙兰朵露|生存者,1507,東方Project,あやぽんず＊ feat.ビートまりお × まろん,STD 3 | STD 7 | STD 11 | STD 13,172,LUMINOUS,
Cthugha,1296,DX,ゲーム＆バラエティ,DX 6 | DX 8+ | DX 12 | DX 14,213,FESTiVAL PLUS,2023-04-14,否,cthugha|火球|火神2|火神|大火球|🎃|炎头|古神|克图格亚|赛图格亚|南瓜头|岩浆怪,1526,VARIETY,USAO「Muse Dash」,STD 4 | STD 8 | STD 12 | STD 14+,213,LUMINOUS,火球|屎|屁股肉金曲
INTERNET OVERDOSE,1287,DX,POPS＆アニメ,DX 4 | DX 7 | DX 10+ | DX 13,163,FESTiVAL PLUS,2023-03-23,否,internet overdose|overdose|超天酱|小天使请安|玉玉症|管人|kotoko|地雷女|io|我有玉玉症|daisuke|主播女孩重度依赖|网络过量|我有抑郁症|升天|主播女孩|土豆地雷|74块钱|朝天椒,1326,POPS & ANIME,Aiobahn feat. KOTOKO「NEEDY GIRL OVERDOSE」,STD 3 | STD 6 | STD 8+ | STD 13,163,SUN PLUS,主播女孩|地雷女|超天酱
Knight Rider,1286,DX,ゲーム＆バラエティ,DX 5 | DX 8 | DX 11 | DX 13+,200,FESTiVAL PLUS,2023-03-23,否,knight rider|骑乘|骑骑|骑骑士士|骑士骑骑士|kr|骑士骑士|疯狂星期四|骑士踢,1247,VARIETY,USAO「WACCA」,STD 3 | STD 9 | STD 12+ | STD 14,200,SUN,骑骑
Let you DIVE!,1285,DX,ゲーム＆バラエティ,DX 3 | DX 7+ | DX 11 | DX 12+,185,FESTiVAL PLUS,2023-03-23,否,let you dive!|让你潜|let you dive|伊丽莎白|让你潜水|wacca|lyd|让你落,1246,VARIETY,HARDCORE TANO*C & エリザベス（CV:大西沙織）「WACCA」,STD 3 | STD 7 | STD 9 | STD 12,185,SUN,
キャットラビング,1283,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8+ | DX 12+,163,FESTiVAL PLUS,2023-03-23,否,キャットラビング|白毛红瞳猫娘|香椎|爱猫tv|cat loving|爱猫|搓猫|坠入爱河的猫,1281,niconico,香椎モイミ,STD 3 | STD 6 | STD 9+ | STD 12,163,SUN,
ロウワー,1282,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8+ | DX 11 | DX 13,132,FESTiVAL PLUS,2023-03-23,否,ロウワー|mzk二箱|堕落眼界|犹大|mzk2|lower|蛇女,1471,niconico,ぬゆり / MEIKO / 25時、ナイトコードで。「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 2 | STD 6 | STD 10+ | STD 13+,132,LUMINOUS,
おとせサンダー,1281,DX,POPS＆アニメ,DX 3 | DX 6 | DX 9+ | DX 11 | DX 13+,177,FESTiVAL PLUS,2023-03-23,否,おとせサンダー|otosethunder|雷落|落下雷霆|落雷|司空震,1330,POPS & ANIME,ぼっちぼろまる,STD 3 | STD 6 | STD 9+ | STD 11+,177,SUN PLUS,落下雷霆
阿修羅ちゃん,1280,DX,POPS＆アニメ,DX 3 | DX 6 | DX 10 | DX 13,156,FESTiVAL PLUS,2023-03-23,否,阿修羅ちゃん|阿修罗酱|阿修罗,1195,POPS & ANIME,Ado,STD 3 | STD 5 | STD 9 | STD 13,156,,阿修罗
魔法少女とチョコレゐト,1279,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9 | DX 13,150,FESTiVAL PLUS,2023-03-23,否,魔法少女とチョコレゐト|巧克力2|魔法少女与巧克力|腐外道2|魔法少女巧克力|巧克力|马猴烧酒和巧克力|魔法少女和巧克力|魔法少女,1315,niconico,ピノキオピー,STD 3 | STD 5 | STD 8+ | STD 13,150,SUN,
神っぽいな,1278,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8+ | DX 11+ | DX 13,142,FESTiVAL PLUS,2023-03-23,否,神っぽいな|像神一样呐|像神一样|神|像神一样啊|神呐|黑化初音|风拂过之处|像神,1200,niconico,ピノキオピー,STD 2 | STD 5 | STD 9+ | STD 12+,142,SUN,像神
ヒバリ,1275,DX,POPS＆アニメ,DX 2 | DX 5 | DX 10+ | DX 13,140,FESTiVAL PLUS,2023-03-23,否,ヒバリ|俩个羽毛球|两个羽毛球|羽毛球|姬雏鸟|hibari|云雀|七八刀|羽毛球跳舞|匕八刀,952,POPS & ANIME,HIMEHINA,STD 3 | STD 6 | STD 9+ | STD 12+,140,CHUNITHM NEW,
FLUFFY FLASH,1274,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 12+ | DX 14,252,FESTiVAL PLUS,2023-03-23,否,fluffy flash|ff14|福利闪光|结城莉玖|ff|绒闪,1301,ゲキマイ,Kobaryo,STD 4 | STD 9 | STD 12 | STD 14+,252,SUN,ff
