No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
1408,DX,The Great Banquet,DX,MASTER,14,14,170,BUDDiES (双),2024-02-02,否,the great banquet|盛大宴会|tgb|伟大的宴窝|宴会|盛宴
1378,DX,天使光輪,DX,MASTER,14,14.4,203,BUDDiES (双),2023-11-10,否,天使光輪|天使光轮|光轮|天使金轮
1373,DX,Energizing Flame,DX,MASTER,14,14.4,201,BUDDiES (双),2023-10-20,否,energizing flame|能量火焰|瑞文皇帝2|粉色机娘|特蕾西娅|粉红机娘|机娘3|钢铁机娘2|ef|能量火|激励火焰|激发火焰
1345,DX,GEOMETRIC DANCE,DX,MASTER,14,14.4,150,BUDDiES (双),2023-09-14,否,geometric dance|gd|几何跳舞|几何舞蹈|几何之舞|几何舞
1344,DX,SQUAD-Phvntom-,DX,MASTER,14,14.3,200,BUDDiES (双),2023-09-14,否,squad-phvntom-|丝瓜|sp|quaso|战术小队|幻影小队|squad|幽灵小队|丝瓜饭桶
1343,DX,Party☆People☆Princess,DX,MASTER,14,14.3,152,BUDDiES (双),2023-09-14,否,party☆people☆princess|ppp|3p|party people princess|派对人们公主|破琵琶|女同20|党人民公主
1342,DX,Horoscope Express,DX,MASTER,14,14,236,BUDDiES (双),2023-09-14,否,horoscope express|星际特快|he|像素三小只|星座快讯|horoscope|观星列车|星座快递|快递
1338,DX,PUPA,DX,MASTER,14,14.4,202,BUDDiES (双),2023-09-14,否,pupa|🦋|蓝的蝶|拉瓦2|大蓝闪蝶|噗趴|蝶魔王|噗啪|扑爬|东方树叶茉莉花茶|蝴蝶|公交车|蓝蝴蝶|隐形的翅膀|扑棱蛾子
1327,DX,地球,DX,MASTER,14,14.3,79,FESTiVAL+ (祝),2023-08-04,否,地球|神曲|立秋窜稀|奶龙|🌍|dq|立秋发癫|屌你|💩|79bpm
1323,DX,Vallista,DX,MASTER,14,14,180,FESTiVAL+ (祝),2023-07-21,否,vallista|瓦里斯塔
1321,DX,ULTRA SYNERGY MATRIX,DX,MASTER,14,14,160,FESTiVAL+ (祝),2023-07-07,否,ultra synergy matrix|usm|手撕猫娘|esm2|usm跑|兄弟拼机吗|esm加大版|恐龙不顺拐
1299,DX,BULK UP (GAME EXCLUSIVE EDIT),DX,MASTER,14,14.2,200,FESTiVAL+ (祝),2023-04-28,否,bulk up (game exclusive edit)|三千快乐曲|bulkup|bulk up|bulk
1296,DX,Cthugha,DX,MASTER,14,14.2,213,FESTiVAL+ (祝),2023-04-14,否,cthugha|火球|火神2|火神|大火球|🎃|炎头|古神|克图格亚|赛图格亚|南瓜头|岩浆怪
1295,DX,僕の和風本当上手,DX,MASTER,14,14,120,FESTiVAL+ (祝),2023-04-14,否,僕の和風本当上手|上天|bokuno和风本当上手|我的和风非常厉害|和风|本当上手|和风本当上手|僕の日本语本当上手|唢呐|上手|我的和风真的熟练
1274,DX,FLUFFY FLASH,DX,MASTER,14,14.4,252,FESTiVAL+ (祝),2023-03-23,否,fluffy flash|ff14|福利闪光|结城莉玖|ff|绒闪
1269,DX,Trrricksters!!,DX,MASTER,14,14.3,155,FESTiVAL+ (祝),2023-03-23,否,trrricksters!!|黄泉盟主|trrr|tricksters|trr|羊角人
1262,DX,最強STRONGER,DX,MASTER,14,14.5,205,FESTiVAL (祭),2023-03-02,否,最強stronger|最屎shitter|血魔王|最强|最强stronger|最弱weaker|塔诺西|最强2|saikyo stronger|？！强强！？|最强霸者
1261,DX,Aegleseeker,DX,MASTER,14,14.5,234,FESTiVAL (祭),2023-03-02,否,aegleseeker|🧐|光追|追光|rtx|拉格兰|光锥|间奏8秒|追光者
1254,DX,"""411Ψ892""",DX,MASTER,14,14.3,184,FESTiVAL (祭),2023-02-03,否,"""411ψ892""|411👅892|985211|411|三叉戟|411ψ892|411892|211985|211屮985"
1252,DX,Beat Opera op.1,DX,MASTER,14,14,145,FESTiVAL (祭),2023-02-03,否,beat opera op.1|歌剧1|op|甘雨鬼叫|op1|甘雨
1250,DX,Hainuwele,DX,MASTER,14,14.3,175,FESTiVAL (祭),2023-01-20,否,hainuwele|华为|华为完了|nova11se|huawei
1249,DX,電光石火,DX,MASTER,14,14.3,165,FESTiVAL (祭),2023-01-20,否,電光石火|电光石火|妖艳魔男2|电光火石|🤨|俄洛伊
1234,DX/STD,VIIIbit Explorer,STD,MASTER,14,14.5,188,FESTiVAL (祭),2021-07-21,否,viiibit explorer|标准浏览器|标准8bit|标准八比特|8bit|8比特|标巴比特|八位探索者|八比特|标8bit|5*8-30/2+3bit|8bit浏览器|八比特管理器|8比特浏览器|巴比特|八比特浏览器|海葵姐|浏览器|大手子|dx八比特|dx8bit
1233,DX,VSpook!,DX,MASTER,14,14.3,155,FESTiVAL (祭),2022-11-18,否,vspook!|🐖|vspook|debi|vs猪肉|打扑克|vspork|花火|大战猪肉|黑姬3|对战猪肉|🐷|对战熟猪排|猪|猪肉|脸书|对决猪肉
1232,DX,#狂った民族２ PRAVARGYAZOOQA,DX,MASTER,14,14.4,170,FESTiVAL (祭),2022-11-18,否,#狂った民族２ pravargyazooqa|狂民族2|Progynova|机娘2|最狂民族风|汉堡包|🍔|疯狂的民族2|汉堡|狂民族|最炫民族风|250绝赞|二百五十个绝赞
1229,DX,Rising on the horizon,DX,MASTER,14,14.4,200,FESTiVAL (祭),2022-11-10,否,rising on the horizon|horizon|roth|玛丽萨默斯|地平线|kop4th预选曲|飞上地平线
1223,DX,SUPER AMBULANCE,DX,MASTER,14,14.3,200,FESTiVAL (祭),2022-10-21,否,super ambulance|120|千夏肚脐眼|千夏开大|俺不能死|救护车|超级救护车|🚑|超级小千夏|日向千夏
1217,DX,Luminaria,DX,MASTER,14,14,227,FESTiVAL (祭),2022-09-22,否,luminaria|露米娅|水神6|海晶灯|流明|鹿米
1214,DX,田中,DX,MASTER,14,14.3,186,FESTiVAL (祭),2022-09-15,否,田中|tanaka
1206,DX,Don't Fight The Music,DX,MASTER,14,14.1,195,FESTiVAL (祭),2022-09-15,否,don't fight the music|憋打歌|刹那立正|小气走|别打音乐|不要打歌|别打歌|刹那|宵崎奏|刹那赢冰箱|是我在制作这些视频|赢取冰箱|不好导弹来袭|不要战斗这音乐|不准打歌|不准揍乐
1205,DX,蜘蛛の糸,DX,MASTER,14,14.2,180,FESTiVAL (祭),2022-09-15,否,蜘蛛の糸|四百块|蜘蛛系|蜘蛛的丝|滴嘟丝|蜘蛛丝|蜘蛛的糸|spider’s thread|🕸️|spider's thread|不来方永爱|蜘蛛之丝
1202,DX,Tricolor⁂circuS,DX,MASTER,14,14,180,FESTiVAL (祭),2022-09-15,否,tricolor⁂circus|龙晖胞|tricolor circus|三个出生|三色马戏团|福瑞三小只|福瑞过节|三只福瑞过节
1198,DX,エータ・ベータ・イータ,DX,MASTER,14,14.1,186,UNiVERSE+ (星),2022-09-02,否,エータ・ベータ・イータ|hera2|eta beta ita|赫拉2|蓝原椿|赫拉二|工一夕八一夕人一夕|咱家那超级大串|工一夕|ἥβη
1176,DX,Sage,DX,MASTER,14,14.5,145,UNiVERSE+ (星),2022-06-24,否,sage|世嘉|撒歌|贤者|sega|sabe|圣人|撒给|萨格|圣徒
1173,DX,Swift Swing,DX,MASTER,14,14.3,150,UNiVERSE+ (星),2022-06-24,否,swift swing|迪拉熊跳舞|他们是经理|滴蜡熊爱跳舞|海澜之家|迪拉熊热舞|滴蜡熊热舞|白铜寺拉小提琴|荡秋千|ss2|五熊扛鼎
1169,DX,N3V3R G3T OV3R,DX,MASTER,14,14.3,128,UNiVERSE+ (星),2022-05-27,否,n3v3r g3t ov3r|永不结束|别急19|永远不过|never get over|3炸|四个三|别急18|双枪老太婆|ngo|n3|3333|天河区
1166,DX,HECATONCHEIR,DX,MASTER,14,14.1,155,UNiVERSE+ (星),2022-05-27,否,hecatoncheir|百足巨人|MysteryPrism|百手巨人|摆臂巨人|百臂巨人|捅椅子|heca|他猫上椅子
1163,DX,Mjölnir,DX,MASTER,14,14.4,222,UNiVERSE+ (星),2022-05-13,否,mjölnir|打火机|钢琴|冒烟钢琴|雷神之锤|mjolnir|mjo|钢琴冒烟|砸钢琴|炸琴|钢琴抽烟|喵喵锤|mjr|喵喵槌|麻将|管子冒烟|脆脆薯条|管子海|钢琴抽大烟|🎹💨|钢琴冒火|翠翠薯条
1160,DX,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,DX,MASTER,14,14.1,202,UNiVERSE+ (星),2022-05-13,否,love's theme of badass ～バッド・アス 愛のテーマ～|猫抓板|拔大蒜|僵尸骑摩托|拔大葱|绿巨人骑摩托车|扒大蒜|哥布林骑摩托|badass|坏屁股|干打雷|恶尻|马达加斯加|爱的主题坏屁股|小绿人
1156,DX,BLUE ZONE,DX,MASTER,14,14.1,168,UNiVERSE+ (星),2022-04-28,否,blue zone|蓝粽|蓝得盆|蓝的盆|极品飞车|蓝界|蓝色高级车|蓝的区|蓝车|蓝的车|飞车|蓝区
1152,DX,otorii INNOVATED -[i]3-,DX,MASTER,14,14.5,210,UNiVERSE+ (星),2022-04-01,否,otorii innovated -[i]3-|电刑|熊二|雷电法王|雷熊|囚徒|紫色滴蜡熊|i3|闪电熊|⚡🐻|电熊|电所有人前列腺|大鸟居|电你前列腺|电击前列腺|耳机漏电|特大迪拉熊
1143,DX,"Good bye, Merry-Go-Round.",DX,MASTER,14,14.1,185,UNiVERSE+ (星),2022-03-24,否,"good bye, merry-go-round.|龙图|goodbye,mother-not-found|good bye, mothre-not-found|旋转mua|再见，旋转木马|白人掐腰|旋转木马|再见旋转木马|🐴|🐎|旋转古神|木马|江南style|🔁🌲🐴|阿尼娅|good bye, mother-not-found.|🎠|再见转圈圈|good bye, mother-not-found|杩|good bye merry go round|日向千夏|旋转木妈|千夏叉腰"
1141,DX,Strive against fate,DX,MASTER,14,14.5,209,UNiVERSE+ (星),2022-03-24,否,strive against fate|saf|红剑|反抗命运|抗争命运|fate|抗命|对抗命运|电风扇|对抗尸体|抵抗命运
1140,DX,パラマウント☆ショータイム！！,DX,MASTER,14,14,222,UNiVERSE+ (星),2022-03-24,否,パラマウント☆ショータイム！！|paramount showtime|至高的表演时间|魔术兔|瑞秋|魔术兔子|霜星|showtime|paramount|小兔子|兔子魔术师|兔子|至高表演时间|表演时间|礼帽兔子
1137,DX/STD,Halcyon,STD,MASTER,14,14.3,191,UNiVERSE+ (星),2019-07-19,否,halcyon|翡翠鸡|sd🐔|翡翠鸟|标准翡翠鸡|标翡翠鸡|静谧之鸟|翡鸡杯|脆皮鸡|dx翡翠鸡|浅鸽处刑曲|🐔
1135,DX,スピカの天秤,DX,MASTER,14,14.4,252,UNiVERSE (宙),2022-03-11,否,スピカの天秤|黑化希望泪|希望泪2|交流电电棍|绝望泪|心灵终结|天秤|这个需要你自己衡量|天平
1125,DX,Trick tear,DX,MASTER,14,14.4,222,UNiVERSE (宙),2022-02-10,否,trick tear|诈泪|诡泣|次元裂缝|tt|被骗哭了|欺诈泪|欺骗泪|诡泪|诡计之泪|诡计泪
1119,DX,Falsum Atlantis.,DX,MASTER,14,14.5,160,UNiVERSE (宙),2022-01-14,否,falsum atlantis.|艾伦走路人|亚特兰提斯|在海下面在海下面|虚伪的亚特兰蒂斯|亚特兰蒂斯|皇城刹那|刹那下海|水神8|fa|刹那
1115,DX/STD,Destr0yer,STD,MASTER,14,14.2,90,UNiVERSE (宙),2019-07-11,否,destr0yer|——口|destr🦌yer|标准d0|别急10|消除男|----------☀️◻|标d0|驱逐舰|神父|毁灭者|d0|终极闪光|方块头|destroyer|削除射线|削除光线|削除|界限突破|毁灭方块人|null|dx削除射线|一一一一一口|破坏者
1109,DX,U&iVERSE -銀河鸞翔-,DX,MASTER,14,14.3,140,UNiVERSE (宙),2021-12-16,否,u&iverse -銀河鸞翔-|银河鸾翔|银河鸞翔|鸾翔|金典有机奶|u&amp;iverse -銀河鸞翔-|3d白猫|银河拉翔|银河翱翔|universe|银河乱翔|银河飞翔|金牛奶|银河|银河卵翔|kop3rd预选曲|银河护卫队|😫|milk走路人
1107,DX,Raven Emperor,DX,MASTER,14,14.5,205,UNiVERSE (宙),2021-12-10,否,raven emperor|秦皇岛|大奶子眼镜妹|鸦皇|瑞文米条|raven|瑞文皇帝|渡鸦皇帝|锐雯皇帝|羽毛笔皇帝|瑞文|渡鸦之皇
1106,DX,Alcyone,DX,MASTER,14,14,176,UNiVERSE (宙),2021-12-10,否,alcyone|昴宿六|古希腊掌管反手交互的神|alc|凯尔希|高丽
1097,DX,星詠みとデスペラード,DX,MASTER,14,14,182,UNiVERSE (宙),2021-10-29,否,星詠みとデスペラード|星之咏唱者与亡命之徒|星咏|星诵
1083,DX,竹,DX,MASTER,14,14.2,150,UNiVERSE (宙),2021-09-16,否,竹|take|🎍|↑↓|ta↓ke↑|bamboo
1081,DX,デッドマンズバラッド,DX,MASTER,14,14.2,300,UNiVERSE (宙),2021-09-16,否,デッドマンズバラッド|恋尸癖|僵尸|死人的歌谣|散华礼弥|僵尸妹|亡者情歌|死人的叙事诗|deadman's ballad|bpm300|僵尸初音|僵尸娘|呜哇呜哇
1079,DX,NAGAREBOSHI☆ROCKET,DX,MASTER,14,14.1,216,UNiVERSE (宙),2021-09-16,否,nagareboshi☆rocket|流星火箭|火箭|那旮热博士|火箭猫猫|福瑞火箭|火箭福瑞|火箭猫|梅干茶渍|飞天兽太|小羊|像素猫猫
1074,DX,宿星審判,DX,MASTER,14,14.3,189,UNiVERSE (宙),2021-07-30,否,宿星審判|审判|宿星|奏明天空|宿暗示|曹逸凡|星怒审判|雷电法王|竹雨|爱蜜莉雅|大慈树王|纳希坦|纳西妲|原神草神|宿星审判|宿
1072,DX,MEGATON BLAST,DX,MASTER,14,14.3,194,Splash+ (煌),2021-09-03,否,megaton blast|百万吨爆炸|华尔兹2|mb|威震天爆炸|早濑优香|高濑梨绪|mfy|核爆|百万吨爆|优香|体操服优香
1061,DX,ほしぞらスペクタクル,DX,MASTER,14,14.4,200,Splash+ (煌),2021-07-21,否,ほしぞらスペクタクル|星空奇观|水母姐|珊瑚宫心海|水母娘|水母|巫贼|水母妹|星球妹|奏音|星际奇观
1060,DX,Starry Colors,DX,MASTER,14,14,177,Splash+ (煌),2021-07-21,否,starry colors|星彩|魔爪|星色|斯大林格勒|星之彩
1047,DX,チエルカ／エソテリカ,DX,MASTER,14,14.3,205,Splash+ (煌),2021-05-28,否,チエルカ／エソテリカ|探寻秘密|千工儿力|呐呐呐|呐呐呐呐|呐|擦玻璃|捏|铅汞|倒挂金钩|企鹅卢卡|黄鼠狼|探寻/秘密|消防员|宫下游|倒挂白毛|4/5|倒立消防员|渊下宫|若叶睦|摔倒|条形码|工力工力|チエルカ|cerca/esoterica|小绿人
1032,DX,CO5M1C R4ILR0AD,DX,MASTER,14,14.4,155,Splash+ (煌),2021-04-16,否,co5m1c r4ilr0ad|514|⭐️奴|cosmic railroad|银河铁路|星怒铁道|宇宙铁路|水晶火车|银河铁道|星奴|火车头|星铁|宇宙铁道|星穹轨道|宇宙泥头车|railroad|雷切2|银河列车|五氧化碳|星穹铁道|崩坏星穹铁道|5140|铁路|co5
1023,DX,Re：End of a Dream,DX,MASTER,14,14.4,212,Splash+ (煌),2021-03-18,否,re：end of a dream|re:end of dream|梦终|美女背靠背|百合|幻梦|re|梦结束|梦的终点|完梦|终梦|俩女人|女同4|reend
1015,DX,Xenovcipher,DX,MASTER,14,14.3,210,Splash+ (煌),2021-03-18,否,xenovcipher|冰火人|离神|远古巫灵|星召起飞|异种密码|泽拉斯|棺材板|终极猎手|小蓝人
1009,DX,Desperado Waltz,DX,MASTER,14,14.2,172,Splash (爽),2021-03-04,否,desperado waltz|华尔兹|第三只手|华二|安塞腰鼓|亡徒华尔兹|噔噔噔|打鼓的小女孩
1006,DX,BIRTH,DX,MASTER,14,14.5,176,Splash (爽),2021-02-19,否,birth|出生
1005,DX,ワンダーシャッフェンの法則,DX,MASTER,14,14.1,170,Splash (爽),2021-02-19,否,ワンダーシャッフェンの法則|创造奇迹的法则|百合咲|炼铜法则|小萝莉法则|六翅一桶|小百合咲|小萝莉2|百合咲2|小扎萝莉|奇迹法则|萝莉棋法则|法则|萝莉法则
995,DX,Grievous Lady,DX,MASTER,14,14.2,210,Splash (爽),2021-01-08,否,grievous lady|老弱病残女|痛苦的女士|生病的女人|病女|对立|gl|有病的女士|对立拉窗帘|伞对立
990,DX,Climax,DX,MASTER,14,14.3,190,Splash (爽),2020-12-25,否,climax|犀利麦克斯|犀利马克思|妖艳魔男|squirt|我有很多手指|阿莱乌斯|🐍🐳|魔男|高潮|stop play maimai
989,DX,YURUSHITE,DX,MASTER,14,14.4,270,Splash (爽),2020-12-25,否,yurushite|逢坂茜|灼眼的夏娜|红酒杯|二郎腿|原谅我|犹如屎|黄鱼|犹如史|回娄底|萝莉喝酒|萨塔妮亚|萨塔妮娅|摇晃的红酒杯|红酒|杰斯顿|火神青春版|yuru****e|🍷|娄底人|匹诺康尼|原谅
974,DX,Mutation,DX,MASTER,14,14,155,Splash (爽),2020-10-16,否,mutation|木他神|仁王|变种|变化|mocation|突变|变异|木忒行|木糖醇|mtt
970,DX,"≠彡""/了→",DX,MASTER,14,14.4,222,Splash (爽),2020-10-01,否,"≠彡""/了→|绝赞熊|太空熊|机密a|宇宙迪拉熊|熊二|キミツアー|≠|kimitour|秘密计划A|三了|火箭熊|キミツア|绝赞天堂|星际传奇|→|心肺功能检查|不等于三引号斜杠了左箭头|立了|你跌来了|太空迪拉熊|你爹来咯"
965,DX,felys -final remix-,DX,MASTER,14,14.4,180,Splash (爽),2020-09-17,否,felys -final remix-|风流韵事|飞叶子|开花歌|felys|非礼死|风流原神|fely|飞雷神|凤梨酥|菲利斯|菲莉丝|核艺味
964,DX,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",DX,MASTER,14,14.5,154,Splash (爽),2020-09-17,否,"sqlupp (camellia's ""sqleipd*hiytex"" remix)|sqlupp|手速疯批|色情撸屁屁|色情撸pp|失去了屁屁|孽蜥|色情露屁屁|帅气露屁屁|涩情撸屁屁|酥妻露屁屁"
962,DX,BATTLE NO.1,DX,MASTER,14,14.5,200,Splash (爽),2020-09-17,否,battle no.1|战斗，爽！|一战|聚众斗殴|战地一|战地1|tanoc|好多人|阿莫阿莫|打胶第一名|战斗爽|第一战|缝合怪|干架第一名|第一名|音游难忘今宵|14个男人|打架第一|打架第一名
955,DX,ARAIS,DX,MASTER,14,14.4,180,Splash (爽),2020-09-17,否,arais|鸟加鸟加|海玲|阿赖斯|阿瑞斯|鸟人|八幡海铃
929,DX,Maboroshi,DX,MASTER,14,14.2,190,でらっくす+ (華),2020-06-11,否,
921,DX,STEEL TRANSONIC,DX,MASTER,14,14.3,236,でらっくす+ (華),2020-03-19,否,steel transonic|钢铁音速|钢铁回音|超音速钢|粉毛机甲|机甲娘|st|刚铁鸡娘|超音钢|钢铁超音速|🐔|钢铁机姬|钢铁机娘|机娘|钢铁鸡娘|粉红机娘|红色有角三倍速|钢跨音速|粉毛机娘|铁音速
897,DX,UniTas,DX,MASTER,14,14.4,205,でらっくす+ (華),2020-01-23,否,unitas|吉他女神|电吉他|吉他神|吉他姐|油腻汰渍|有你他死
890,DX,アポカリプスに反逆の焔を焚べろ,DX,MASTER,14,14.5,222,でらっくす (熊),2019-12-13,否,アポカリプスに反逆の焔を焚べろ|于启示录上燃烧的叛逆火焰|反逆|apocalypse rebellious|在启示录上点燃叛逆的火焰|反逆焰
836,STD,FFT,STD,MASTER,14,14,180,FiNALE (輝),2019-03-08,否,fft|喜报|傅立叶快速变换|快速傅立叶变换|沙发太撸管|福费廷|傅立叶转换|傅立叶|ttf|粪粪掏|狒狒踢|芳芳痛|傅里叶变换|傅里叶|埃夫爱妇踢|狒狒头|傅立叶变换|发发图|快速傅里叶变换|付费通|大灵通|扶扶她|fast fourier transform
835,STD,Alea jacta est!,STD,MASTER,14,14.4,162,FiNALE (輝),2019-02-07,否,alea jacta est!|魂5|avemujica|黑人击剑|🤺|木已成舟|骰子已经掷下|宝可梦剑盾|aj|农具打架|求求你们不要再打啦|科比肘击詹姆斯|骰子已被掷下|孤注一掷|击剑|2025春晚|种植园纷争|黑人打架|aje|打架|种植园纠纷|黑人打胶|🗿|白人打架|种植园争端|你们不要再打辣|覆水难收|破釜沉舟
834,STD,Schwarzschild,STD,MASTER,14,14.3,188,FiNALE (輝),2019-01-11,否,schwarzschild|s属性爆发|火娃|黑斜塔|长香水|黑臭火|漆黑之盾|四川火娃|🔥🐸|四川白娃|schw|史瓦西|黑色小孩|暗黑之盾|黑香水|黑盾|四川香水|水神10|烓|四川火娃弱智齿轮队|香水2
809,STD,B.M.S.,STD,MASTER,14,14.2,200,FiNALE (輝),2019-02-07,否,b.m.s.|抱猫神|披萨|bms|达美乐披萨|冰美式|光吉猛修他爹|光吉|光吉猛修的爹
807,STD,魔法少女になるしかねぇ,STD,MASTER,14,14,165,FiNALE (輝),2019-02-07,否,魔法少女になるしかねぇ|脏|马猴烧酒|只好成为魔法少女了|魔法少女
792,STD,Scarlet Lance,STD,MASTER,14,14.2,185,FiNALE (輝),2018-12-13,否,scarlet lance|麒麟X夜刀|红烧狮子头|朗基努斯之枪|红色紧身裤|狗含剑|红叉|火枪|斯卡雷特开源|红枪|叉子|朗基努斯枪|斯卡雷特开元|狗罕见|苍响|红温叉子|狗叼戟
791,STD,極圏,STD,MASTER,14,14.4,207,FiNALE (輝),2018-12-13,否,極圏|sdvx|極圈|急圈|🐔⭕|极圈|只因圈|寄圈|🐔⭕️|鸡圈|肌肉奶龙|鸡犬
777,STD,花と、雪と、ドラムンベース。,STD,MASTER,14,14.3,180,MiLK+ (雪),2018-11-06,否,花と、雪と、ドラムンベース。|雪鸡|花雪一堆日本字|冬之花|别急6|花😋、雪🤤、😘😨🥵🤢😈🤣😅。|四月的雪|舞萌金曲|快慢刀|🌸❄️|六块钱|🌸1⃣️🛞|花一轮|雪球|花雪|昭和金曲|花，雪和bass|花花花花花花一轮|🌸①🛞|间奏9秒|昭和女人|ktv金曲
774,STD,FREEDOM DiVE (tpz Overcute Remix),STD,MASTER,14,14.1,234,MiLK+ (雪),2018-10-25,否,freedom dive (tpz overcute remix)|大陆首杀|丛雨|↓|自由落体|牢大坠机|fdfd|自由戴夫|234.56|科比|23456|fd|发癫|fdmm|freedom dive|自由潜水|自由坠机↓↓↓|2310
765,STD,Ragnarok,STD,MASTER,14,14.1,184,MiLK+ (雪),2018-09-18,否,ragnarok|诸神黄昏|黄昏|太空车
762,STD,Xevel,STD,MASTER,14,14.3,176,MiLK+ (雪),2018-09-04,否,xevel|邪恶vel|宵崎奏|女人唱歌男人死|健身房|女鬼小气走|黑白双gay|希尔薇|累死人不偿命|叉evel|苦命鸳鸯|希沃
758,STD,初音ミクの激唱,STD,MASTER,14,14.5,200,MiLK+ (雪),2018-08-09,否,初音ミクの激唱|鸡场|初音未来的激唱|🐔🎤|姬昌|机场|激唱|大葱天使|暴走p的激唱
745,STD,World Vanquisher,STD,MASTER,14,14.3,170,MiLK+ (雪),2018-06-21,否,world vanquisher|mother vanquisher|金手指|😎👆|奶龙征服者|wv|世界征服者|🤓☝️|手感噔噔|中二谭|春晚2|噔噔噔噔噔|世征|春晚机器人|三点饮茶|威猛先生|秧歌bot|春晚机器人舞|☝️|林楠|🤓☝|🤓👆|中二送披萨|🤓☝🏻|2025春晚|我的碗筷洗
734,STD,Justified,STD,MASTER,14,14,185,MiLK (白),2018-05-22,否,justified|正义|梅西大战科比|牌佬打架|红蓝对决|森林冰火人|哪吒大战敖丙|一半敖丙一半哪吒
728,STD,エンドマークに希望と涙を添えて,STD,MASTER,14,14.3,257,MiLK (白),2018-04-24,否,エンドマークに希望と涙を添えて|筋肉女神|梦泪|希望泪|🙂|为结局添上希望与泪水|希望累|梦之泪伤
715,STD,麒麟,STD,MASTER,14,14.1,220,MiLK (白),2018-03-06,否,麒麟|kirin|🦌|🦒|70|长颈鹿|鬣狗|星召跳劈|骑0|淇淋|鹿
709,STD,もうみんなしねばいいのに,STD,MASTER,14,14,180,MiLK (白),2018-02-06,否,もうみんなしねばいいのに|全灭|如果大家都趋势了就好了|去死吧|如果大家都死了就好了|全寄|团灭|如果大家都似掉就好了|如果大家都似了就好了|趋势|大家死了好|大家都去死|水桥帕露西|帕露西|大家都死了|大家一起死|大家去死|大家都死了就好了
688,DX/STD,Calamity Fortune,STD,MASTER,14,14.2,200,MURASAKi+ (菫),2017-12-05,否,calamity fortune|常发|卡拉米提佛纯|穿越火线|标cf|早苗教你画星星|leaf教你画星星|标准cf|灾厄命运|sdcf|小鸟游没几几|cf|dxcf|东风谷早苗|风神录五面道中
682,STD,幸せになれる隠しコマンドがあるらしい,STD,MASTER,14,14,142,MURASAKi+ (菫),2017-11-21,否,幸せになれる隠しコマンドがあるらしい|幸隐|结月流汗|似乎有着能够变得幸福的隐藏指令|↓→↑→→↓→→↑↑↓↓←→←→|紫砂|视力检测|→↓↑→→↓→→↑↑↓↓←→←→|幸福指令|むちゃぶり|喵梦|结月缘|⭐🌧️|结月缘黑丝兔女郎|😅|有款游戏越打越年轻|上上下下左右左右|👆👆👇👇👈👉👈👉
