No.,分类,曲名,创作者,谱面,BPM,版本,别名
1717,ORIGINAL,MegiddØ,BlackY VS 大国奏音,STD 5 | STD 8+ | STD 14 | STD 15+,180,VERSE,大奶机枪男|大奈机枪男|在思考要不要攻击|白毛大奶机枪男|思考要不要攻击|megiddo
1716,VARIETY,ひつぎとふたご,plastic feat. サキト,STD 3 | STD 6 | STD 10+ | STD 15,172,VERSE,
1715,niconico,ゆりかご,歌：可不 作詞：MIMI　作曲：MIMI 「神椿市協奏中。」,STD 2 | STD 4 | STD 9 | STD 13,120,VERSE,
1714,niconico,月光,歌：V.I.P 作詞：廉　作曲：廉 「神椿市協奏中。」,STD 4 | STD 7+ | STD 11 | STD 14,195,VERSE,月光
1713,VARIETY,Destined Marionette,ビートまりお,STD 3 | STD 6 | STD 12+ | STD 14+,186,VERSE,
1712,東方Project,"Help me, ERINNNNNN!!",ビートまりお,STD 3 | STD 6 | STD 10+ | STD 14,185,VERSE,
1711,東方Project,超最終鬼畜妹フランドール・S,ビートまりお×まろん,STD 4 | STD 7+ | STD 12 | STD 15,210,VERSE,超最终鬼畜妹
1710,VARIETY,宵の平安京 Stargazer,永田泰之,STD 3 | STD 7 | STD 11 | STD 15,268,VERSE,
1709,イロドリミドリ,We Are Us(IOSYS TRAX Remix),舞ヶ原シンセ研究会,STD 3 | STD 5 | STD 10+ | STD 13+,160,VERSE,
1708,niconico,ザムザ,てにをは,STD 2 | STD 5 | STD 9+ | STD 13+,121,VERSE,
1707,niconico,イガク,原口沙輔 feat.重音テト,STD 3 | STD 6 | STD 10+ | STD 13+,170,VERSE,
1706,POPS & ANIME,革命ダンス,柳場ぱんだ(CV.大空直美)、与那国緋花里(CV.下地紫野)「ワールドダイスター 夢のステラリウム」,STD 3 | STD 5 | STD 9+ | STD 13,174,VERSE,
1705,POPS & ANIME,I Wanna,静香(CV.長谷川育美)「ワールドダイスター 夢のステラリウム」,STD 4 | STD 7 | STD 14 | STD 15,200,VERSE,我想|iw
1704,POPS & ANIME,シリウスの輝きのように,鳳 ここな(CV.石見舞菜香)、静香(CV.長谷川育美)、カトリナ・グリーベル(CV.天城サリー)、新妻八恵(CV.長縄まりあ)、柳場ぱんだ(CV.大空直美)、流石知冴(CV.佐々木李子)「ワールドダイスター 夢のステラリウム」,STD 3 | STD 6 | STD 10 | STD 13 | STD 14+,158,VERSE,
1703,WORLD'S END,Sunlight Starlight,Palme,WE 【蔵】☆☆☆☆,,VERSE,
1702,WORLD'S END,Blue Noise,from PACA PACA PASSION,WE 【敷】☆☆,,VERSE,蓝噪音|屎|答辩|大便|粪便
1701,WORLD'S END,BRAND NEW STARS!! (ALKALOID ver.),歌：ALKALOID 作詞：こだまさおり　作曲：桑原聖（Arte Refact）、編曲：脇眞富（Arte Refact）,WE 【招】☆☆☆☆☆,,VERSE,
1700,ゲキマイ,躯樹の墓守,隣の庭は青い(庭師+Aoi),STD 5 | STD 8 | STD 13+ | STD 15,211,VERSE,墓守|躯世的墓琴|躯树|去世的木琴
1699,niconico,ハオ,DECO*27,STD 3 | STD 6 | STD 9 | STD 12+,176,VERSE,
1698,niconico,あいたい星人,DECO*27,STD 3 | STD 5 | STD 9+ | STD 13,150,VERSE,
1697,niconico,ラビットホール,DECO*27,STD 3 | STD 7 | STD 11 | STD 13+,173,VERSE,
1696,ORIGINAL,HeinousЯeaper,seatrus,STD 4 | STD 8 | STD 14 | STD 15,201,VERSE,heinousreaper|死神
1695,ORIGINAL,jaQup,owl＊tree,STD 4 | STD 7+ | STD 13 | STD 14,133,VERSE,
1694,ORIGINAL,ずんずんサファリ,ずんずんサファリ,STD 3 | STD 7 | STD 11 | STD 14+,150,VERSE,zunzun|zunzunsafari|safari
1693,ORIGINAL,旅星に渇く,Yu-dachi,STD 4 | STD 7+ | STD 12+ | STD 14+,142,VERSE,
1692,POPS & ANIME,殺屋中毒,cresc.,STD 2 | STD 6 | STD 10+ | STD 13+,230,VERSE,杀屋中毒|杀屋
1691,WORLD'S END,猫祭り,箱部 なる(CV:M・A・O),WE 【嘘】☆☆,,X-VERSE-X,猫寄|猫祭
1690,ゲキマイ,淵底のグレイ・ユークロニア,打打だいず vs. siromaru vs. Tanchiky,STD 5 | STD 8 | STD 13+ | STD 15,210,VERSE,渊底
1689,niconico,Nyan Cat,daniwellP feat. 桃音モモ,STD 2 | STD 6 | STD 12 | STD 14,142,VERSE,
1688,ゲキマイ,本能的 Survivor,曲：eba／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],STD 3 | STD 6 | STD 10 | STD 13+,190,VERSE,
1687,niconico,黒塗り世界宛て書簡,フロクロ,STD 3 | STD 6 | STD 10+ | STD 13+,185,VERSE,
1686,niconico,ライアーダンサー,マサラダ,STD 3 | STD 6 | STD 9 | STD 13,170,VERSE,
1685,niconico,オーバーライド,吉田夜世,STD 4 | STD 6 | STD 10 | STD 13+ | STD 14+,204,VERSE,覆盖
1684,niconico,人マニア,原口沙輔 feat.重音テト,STD 3 | STD 5 | STD 10 | STD 14,150,VERSE,
1683,POPS & ANIME,Surprising Thanks!! (Crazy:B ver.),歌：Crazy:B 作詞：松井洋平　作曲 / 編曲：伊藤和馬 (Arte Refact),STD 3 | STD 5 | STD 9 | STD 13,135,VERSE,
1682,POPS & ANIME,One with One (Eden ver.),歌：Eden 作詞：こだま さおり　作曲 / 編曲：佐藤 厚仁（Dream Monster）,STD 3 | STD 5 | STD 9 | STD 13+,148,VERSE,
1681,POPS & ANIME,BRAND NEW STARS!! (ALKALOID ver.),歌：ALKALOID 作詞：こだまさおり　作曲：桑原聖（Arte Refact）、編曲：脇眞富（Arte Refact）,STD 3 | STD 5 | STD 10 | STD 12+,235,VERSE,
1680,POPS & ANIME,ONLY YOUR STARS!（Trickstar Ver.）,歌：Trickstar 作詞：松井洋平　作曲/編曲：中土智博（APDREAM）,STD 2 | STD 5 | STD 9+ | STD 13,186,VERSE,
1679,VARIETY,INFiNiTE ENERZY -Overdoze-,Reku Mochizuki,STD 4 | STD 7 | STD 13 | STD 14,180,VERSE,屁股肉|臀大肌|判定线不动最多16.3|infinity overdoze
1678,ORIGINAL,Crush the Dystopia,"MintJam vs Masahiro ""Godspeed"" Aoki",STD 5 | STD 8 | STD 13 | STD 15,205,VERSE,乌托邦|反乌托邦
1677,ORIGINAL,Aether Crest: Celestial,void (Mournfinale) × 水野健治,STD 5 | STD 8+ | STD 14 | STD 15+,180,VERSE,acc|光看大雷|ac：c|ac:c|光光看大雷
1676,WORLD'S END,おくすり飲んで寝よう,もちうつね,WE 【狂】☆☆☆☆,,VERSE,
1675,WORLD'S END,What's up? Pop!,Capchii,WE 【招】☆☆☆☆,,VERSE,屎|wup|pjsk|初音未来|master37|我草屎|我擦跑|卧槽屎
1674,WORLD'S END,カオスが極まる,UNISON SQUARE GARDEN「ブルーロック」,WE 【両】☆,,VERSE,
1673,niconico,リアライズ,柊マグネタイト,STD 3 | STD 5 | STD 9+ | STD 12+,150,VERSE,
1672,niconico,新人類,まらしぃ×じん×堀江晶太(kemu) feat.鏡音リン,STD 3 | STD 5 | STD 9 | STD 13+,144,VERSE,新人类
1671,niconico,ももいろの鍵,いよわ,STD 3 | STD 5 | STD 10 | STD 13+,165,VERSE,桃色
1670,niconico,ノンブレス・オブリージュ,ピノキオピー,STD 3 | STD 7 | STD 10+ | STD 14,148,VERSE,
1669,niconico,ありふれたせかいせいふく,ピノキオピー,STD 3 | STD 5 | STD 9 | STD 13+,150,VERSE,
1668,イロドリミドリ,We don't need tears!,舞ヶ原シンセ研究会,STD 3 | STD 5 | STD 9+ | STD 13+,140,VERSE,
1667,ORIGINAL,〚空虚〛 ～Pyrophilia,Black Box × Spyro Kong,STD 4 | STD 7+ | STD 13 | STD 14+,135,VERSE,空虚|史
1666,ORIGINAL,〚盲従〛 ～Fantasia Sonata Flower,P3-Studio,STD 4 | STD 6 | STD 12+ | STD 14+,190,VERSE,盲从
1665,ORIGINAL,〚献身〛 ～Paradox of Choice,Jehezukiel × KURORAK (feat. HideKy),STD 5 | STD 8 | STD 13+ | STD 14+,282,VERSE,献身|雅迪
1664,ORIGINAL,〚隔絶〛 ～Flame of Determination,TERU FOX × Yukino feat. Iris,STD 3 | STD 5 | STD 11 | STD 14,150,VERSE,隔绝
1663,VARIETY,キミとボクへの葬送歌,ROKINA,STD 4 | STD 8 | STD 13+ | STD 15,220,VERSE,葬送歌
1662,VARIETY,VOLT,aran「グルーヴコースター」,STD 3 | STD 6 | STD 10+ | STD 13+,174,VERSE,伏特
1661,VARIETY,It's a pit world,Shohei Tsuchiya(ZUNTATA)「グルーヴコースター」,STD 2 | STD 5 | STD 9 | STD 13,140,VERSE,
1660,VARIETY,Black MInD,COSIO「グルーヴコースター」,STD 4 | STD 7+ | STD 12+ | STD 15,192,VERSE,blackmind
1659,ゲキマイ,Lostwizz,s-don,STD 3 | STD 6 | STD 12+ | STD 14,155,VERSE,
1658,POPS & ANIME,ジョハリ,Nornis,STD 3 | STD 5 | STD 9+ | STD 13,167,VERSE,
1657,VARIETY,Not On The Sidelines - Street Fighter 6 Main Theme,"Rocco808,Randy Marx,GRP,寺山善也「ストリートファイター6」",STD 3 | STD 6 | STD 10 | STD 13,180,VERSE,
1656,niconico,ジェヘナ,wotaku,STD 2 | STD 5 | STD 10 | STD 14,128,VERSE,
1655,niconico,夜もすがら君想ふ (10th Anniv.),TOKOTOKO（西沢さんP）,STD 2 | STD 5 | STD 9 | STD 13,148,VERSE,
1654,niconico,あいのうた,大漠波新,STD 2 | STD 6 | STD 10 | STD 13+,139,VERSE,
1653,ORIGINAL,激烈!!!!ファミレスガールは帰しま1000!!!!,南ノ南 feat.9Lana,STD 3 | STD 7 | STD 13 | STD 14,201,VERSE,
1652,VARIETY,Tempestissimo,t+pazolite「Arcaea」,STD 5 | STD 9 | STD 13+ | STD 14+,231,VERSE,风暴|雅迪|儿歌|香草|tempest
1651,VARIETY,Ringed Genesis,Edelritter「Arcaea」,STD 3 | STD 6 | STD 11 | STD 14,160,VERSE,rg
1650,VARIETY,Tie me down gently,溝口ゆうま feat. 大瀬良あい「Arcaea」,STD 3 | STD 6 | STD 10+ | STD 14,191,VERSE,
1649,VARIETY,inkar-usi,DIA「Arcaea」,STD 1 | STD 5 | STD 10 | STD 13,102,VERSE,inkar
1648,WORLD'S END,Ever green Never end,月鈴 白奈(CV:高野 麻里佳),WE 【翔】☆☆,,VERSE,
1647,WORLD'S END,花と、雪と、ドラムンベース。,kanone feat. せんざい,WE 【撃】☆☆☆☆,,VERSE,花一轮
1646,WORLD'S END,ジングルベル,SEGA Sound Unit[H.],WE 【改】☆☆☆,,VERSE,圣诞歌|圣诞|屎|鸡公煲|金钩表
1645,POPS & ANIME,Fighting My Way,歌：花海咲季 (CV. 長月あおい) 作詞：HIROMI　作曲・編曲：Giga「学園アイドルマスター」,STD 2 | STD 5 | STD 10 | STD 13+,132,VERSE,战斗我的路|战斗我的🦌|fmw
1644,POPS & ANIME,Campus mode!!,歌：初星学園 作詞作曲：田淵智也 編曲：滝澤俊輔（TRYTONELABO）「学園アイドルマスター」,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,183,VERSE,
1643,POPS & ANIME,アイデンティティ（104期NEW Ver.）,みらくらぱーく！[大沢瑠璃乃(CV.菅 叶和)、藤島 慈(CV.月音こな)、安養寺姫芽(CV.来栖りん)]「Link！Like！ラブライブ！」,STD 3 | STD 6 | STD 10+ | STD 14,202,VERSE,
1642,POPS & ANIME,KNOT（104期Ver.）,DOLLCHESTRA[村野さやか(CV.野中ここな)、夕霧綴理(CV.佐々木琴子)、徒町小鈴(CV.葉山風花)]「Link！Like！ラブライブ！」,STD 3 | STD 6 | STD 9 | STD 13,174,VERSE,
1641,POPS & ANIME,眩耀夜行（104期Ver.）,スリーズブーケ[日野下花帆(CV.楡井希実)、乙宗 梢(CV.花宮初奈)、百生吟子(CV.櫻井陽菜)]「Link！Like！ラブライブ！」,STD 3 | STD 5 | STD 9 | STD 13,158,VERSE,
1640,ORIGINAL,Theatore Creatore,Toby Fox & かめりあ,STD 5 | STD 9+ | STD 12+ | STD 14 | STD 15,185,VERSE,创作剧场
1639,ORIGINAL,The Devil Incarnate,Laur,STD 5 | STD 10 | STD 14 | STD 15,250,VERSE,恶魔|魔鬼化身
1638,ORIGINAL,Oracle,DJ Noriken,STD 3 | STD 7+ | STD 13 | STD 14+,205,VERSE,oracle|甲骨文
1637,ORIGINAL,Crystallize,Lime,STD 3 | STD 6 | STD 10 | STD 14,148,VERSE,
1636,ORIGINAL,房総★ミラクル☆てんたくる!?,MOSAIC.WAV,STD 3 | STD 6 | STD 10 | STD 14,155,VERSE,
1635,ORIGINAL,ラブリージャッジメント,いるかアイス feat.ちょこ,STD 2 | STD 5 | STD 10+ | STD 13+,288,VERSE,
1634,ORIGINAL,ドリームケッチャー,OUTLOUD feat.NG。,STD 3 | STD 6 | STD 9 | STD 12,164,VERSE,
1633,ORIGINAL,メッちゅう殴打,STEAKA feat.山田じぇみ子,STD 3 | STD 6 | STD 11+ | STD 14,178,VERSE,青蛙地雷女
1632,ゲキマイ,"≠彡""/了→",水野健治,STD 4 | STD 7+ | STD 13 | STD 15,222,VERSE,你爹来了|太空熊
1631,ゲキマイ,Ai C,Feryquitous,STD 3 | STD 7 | STD 13 | STD 14+,191,VERSE,aic|三小只
1630,ゲキマイ,イルミネーション,曲：央海加亥／歌：柏木 咲姫(CV：石見 舞菜香),STD 3 | STD 5 | STD 8 | STD 12+,131,VERSE,
1629,イロドリミドリ,カモンゴー！,HaNaMiNa,STD 3 | STD 5 | STD 9+ | STD 13+,200,VERSE,
1628,VARIETY,Chronomia,Lime,STD 4 | STD 8 | STD 12+ | STD 14+,227,VERSE,天文钟
1627,VARIETY,Synthesis.,tn-shi,STD 3 | STD 8 | STD 12 | STD 15,180,VERSE,综合
1626,VARIETY,Igallta,Se-U-Ra「Phigros」,STD 4 | STD 8+ | STD 12 | STD 15,230,VERSE,屁股肉|iga
1625,東方Project,有頂天ドリーマーズ,森羅万象,STD 3 | STD 6 | STD 9 | STD 12+,188,VERSE,
1624,niconico,好きな惣菜発表ドラゴン,ンバヂ,STD 3 | STD 5 | STD 7+ | STD 13+,160,VERSE,
1623,niconico,絶対敵対メチャキライヤー,メドミア,STD 3 | STD 6 | STD 10 | STD 13,190,VERSE,
1622,niconico,メズマライザー,サツキ feat.初音ミク・重音テト,STD 3 | STD 6 | STD 10+ | STD 13 | STD 14+,185,VERSE,催眠术
1621,POPS & ANIME,VERSE,KMNZ,STD 2 | STD 5 | STD 9 | STD 13,127,VERSE,诗
1620,POPS & ANIME,愛包ダンスホール,HIMEHINA,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,141,VERSE,
1619,POPS & ANIME,ビビデバ,星街すいせい（ホロライブ）,STD 3 | STD 5 | STD 10+ | STD 12+ | STD 14,120,VERSE,
1618,POPS & ANIME,晴る,ヨルシカ,STD 2 | STD 5 | STD 8+ | STD 11+ | STD 14,204,VERSE,
1617,POPS & ANIME,On your mark (104期 Ver.),蓮ノ空女学院スクールアイドルクラブ「Link！Like！ラブライブ！」,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,154,VERSE,
1616,ゲキマイ,群青シグナル,テヅカ feat. 獅子神レオナ,STD 3 | STD 6 | STD 10 | STD 13+,206,LUMINOUS PLUS,
1615,ゲキマイ,NAGAREBOSHI☆ROCKET,梅干茶漬け,STD 3 | STD 6 | STD 12 | STD 14,216,LUMINOUS PLUS,
1614,ゲキマイ,超熊猫的周遊記（ワンダーパンダートラベラー）,FANTAGIRAFF,STD 4 | STD 6 | STD 13 | STD 14+,158,LUMINOUS PLUS,超熊猫
1613,ゲキマイ,Flower,曲：白戸佑輔(Dream Monster)／歌：ASTERISM [星咲 あかり(CV：赤尾 ひかる)、藤沢 柚子(CV：久保田 梨沙)、三角 葵(CV：春野 杏)],STD 3 | STD 6 | STD 9+ | STD 12+,168,LUMINOUS PLUS,花|扶老二|街机公交车
1612,イロドリミドリ,Here the Our MIRAI!,イロドリミドリ,STD 3 | STD 6 | STD 10 | STD 13+,190,LUMINOUS PLUS,
1611,ORIGINAL,Forsaken Tale,t+pazolite,STD 5 | STD 12 | STD 14 | STD 15+,221,LUMINOUS PLUS,奶龙|仁王盾|forsakentale|str没ajc|ft
1610,niconico,自称、音楽愛好家,卯花ロク,STD 2 | STD 5 | STD 9+ | STD 13,154,LUMINOUS PLUS,
1609,niconico,まにまに,r-906,STD 3 | STD 6 | STD 10 | STD 13+,174,LUMINOUS PLUS,任之随之
1608,niconico,What's up? Pop!,Capchii,STD 4 | STD 8 | STD 14 | STD 15,190,LUMINOUS PLUS,屎|wup|pjsk|初音未来|master37|我草屎|我擦跑|卧槽屎
1607,POPS & ANIME,Sleep Walking Orchestra,BUMP OF CHICKEN,STD 2 | STD 5 | STD 9 | STD 11+,127,LUMINOUS PLUS,
1606,ORIGINAL,Acid God,Yuta Imai,STD 4 | STD 9+ | STD 13+ | STD 15,160,LUMINOUS PLUS,酸神|柠檬酸|nms
1605,ゲキマイ,MeteorSnow,あず♪,STD 5 | STD 8 | STD 13+ | STD 15,220,LUMINOUS PLUS,陨石雪
1604,WORLD'S END,分からない,ろん×黒魔,WE 【？】☆☆,,LUMINOUS PLUS,不知道|哇卡拉奶|我不知道|我不到啊|这
1603,WORLD'S END,Reverberate,とろまる,WE 【半】☆☆☆,,LUMINOUS PLUS,灯泡头|灯泡人|灯泡男|雅迪|sarc609|灯泡男人
1602,WORLD'S END,マツケンサンバⅡ,松平健 [covered by 光吉猛修],WE 【狂】☆☆,,LUMINOUS PLUS,
1601,ORIGINAL,Tuatha Dé Danann,"深淵を覗きし者""Gram""",STD 5 | STD 10 | STD 14 | STD 15+,234,LUMINOUS PLUS,雅迪|damn|白开水|模板|预制菜|预制|tdd|丹努之子|预制谱
1600,ORIGINAL,LibrariA,ルゼ,STD 4 | STD 7+ | STD 13 | STD 15,190,LUMINOUS PLUS,儿也|libraria|赫拉3|赫拉三|图书馆|hera3
1599,ORIGINAL,Fire Engine73,AJURIKA,STD 3 | STD 7 | STD 12 | STD 13+,155,LUMINOUS PLUS,
1598,ORIGINAL,Lovely Lovely Lover,EmoCosine,STD 3 | STD 5 | STD 11+ | STD 14,160,LUMINOUS PLUS,
1597,ゲキマイ,Death Doll,SHIKI,STD 3 | STD 6 | STD 11 | STD 14,184,LUMINOUS PLUS,死亡娃娃|死娃娃
1596,POPS & ANIME,特者生存ワンダラダー!!,天音かなた（ホロライブ）,STD 3 | STD 6 | STD 10 | STD 13,216,LUMINOUS PLUS,
1595,POPS & ANIME,モンダイナイトリッパー！,名取さな,STD 3 | STD 5 | STD 9+ | STD 13 | STD 14,180,LUMINOUS PLUS,
1594,POPS & ANIME,ハートサーモグラフィー,周防パトラ,STD 3 | STD 5 | STD 9 | STD 13,180,LUMINOUS PLUS,
1593,niconico,マシンガンポエムドール,cosMo＠暴走P「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 4 | STD 8+ | STD 13+ | STD 15,220,LUMINOUS PLUS,机关枪|机枪诗歌
1592,イロドリミドリ,Rhythmic Ride,明坂 芹菜(CV:新田 恵海),STD 3 | STD 6 | STD 10 | STD 13+,230,LUMINOUS PLUS,节奏骑|节奏之旅
1591,niconico,ずんだパーリナイ,なみぐる feat.ずんだもん,STD 3 | STD 6 | STD 8+ | STD 13+,150,LUMINOUS PLUS,俊达萌派对之夜|俊达萌
1590,niconico,スコーピオンガールの貴重な捕食シーン,STEAKA,STD 3 | STD 6 | STD 10 | STD 14,152,LUMINOUS PLUS,
1589,POPS & ANIME,迷星叫,MyGO!!!!!,STD 3 | STD 5 | STD 9+ | STD 12+,190,LUMINOUS PLUS,mygo
1588,POPS & ANIME,壱雫空,MyGO!!!!!,STD 3 | STD 5 | STD 10+ | STD 14,204,LUMINOUS PLUS,mygo
1587,ORIGINAL,ソーシャルワンダーランド,テヅカ x Aoi feat.すずしろ,STD 3 | STD 6 | STD 11 | STD 14+,212,LUMINOUS PLUS,
1586,ORIGINAL,おしゃまなプリンセス,Shu feat. 七海うらら,STD 3 | STD 6 | STD 11 | STD 14+,200,LUMINOUS PLUS,
1585,ORIGINAL,乙女戦士☆あーし。,A4。 feat.yamada.,STD 2 | STD 6 | STD 10 | STD 13+,105,LUMINOUS PLUS,
1584,ORIGINAL,X.Y.Z.,Len feat.SHIKI,STD 2 | STD 6 | STD 9+ | STD 13,128,LUMINOUS PLUS,xyz|坐标系
1583,ゲキマイ,Dramatic…?,曲：Kijibato／歌：星咲 あかり(CV：赤尾 ひかる)、珠洲島 有栖(CV：長縄 まりあ)、日向 千夏(CV：岡咲 美保)、皇城 セツナ(CV：八巻 アンナ),STD 3 | STD 6 | STD 11 | STD 14,184,LUMINOUS PLUS,
1582,ORIGINAL,優勝Princess♡,高瀬一矢 feat.R.I.N.A,STD 2 | STD 5 | STD 9 | STD 13,140,LUMINOUS PLUS,
1581,POPS & ANIME,M.L.V.G,テトラルキア「Re:ステージ！プリズムステップ」,STD 3 | STD 6 | STD 11 | STD 14,190,LUMINOUS PLUS,mlvg
1580,POPS & ANIME,ハッピータイフーン,KiRaRe「Re:ステージ！プリズムステップ」,STD 3 | STD 5 | STD 9 | STD 12,152,LUMINOUS PLUS,
1579,東方Project,ヒトリシズカ(Arranged: Iceon),幽閉サテライト(direction:嵯峨飛鳥),STD 1 | STD 5 | STD 9 | STD 11+,126,LUMINOUS PLUS,
1578,東方Project,壊れた人形のマーチ,少女理論観測所,STD 2 | STD 6 | STD 8+ | STD 12,132,LUMINOUS PLUS,坏人形
1577,ゲキマイ,Latent Kingdom,Laur vs 大国奏音,STD 4 | STD 9 | STD 13 | STD 15,201,LUMINOUS PLUS,lk|潜在王国
1576,WORLD'S END,Elemental Creation,dj TAKA meets DJ YOSHITAKA,WE 【跳】☆☆☆☆,,LUMINOUS PLUS,忍者|少打音游多读书|读书|读书郎|元素创造
1575,WORLD'S END,《種子》 ～ Set You Free,Iris,WE 【翔】☆☆☆,,LUMINOUS PLUS,种子
1574,WORLD'S END,異星にいこうね,いよわ　feat.星界,WE 【翔】☆☆,,LUMINOUS PLUS,
1573,VARIETY,Make Up Your World feat. キョンシーのCiちゃん & らっぷびと,t+pazolite & Srav3R,STD 3 | STD 6 | STD 10+ | STD 13,180,LUMINOUS PLUS,
1572,VARIETY,Poppin' Dream,P*Light,STD 3 | STD 6 | STD 10 | STD 13+,175,LUMINOUS PLUS,
1571,VARIETY,Joe Fight,DJ Myosuke,STD 3 | STD 7+ | STD 12 | STD 14,175,LUMINOUS PLUS,屎|地雷|乔|乔打架
1570,VARIETY,NIGHTWAVE FRAGMENTS,DJ Noriken,STD 3 | STD 6 | STD 12 | STD 14,190,LUMINOUS PLUS,
1569,POPS & ANIME,トゥッティ！,北宇治カルテット [黄前久美子 (CV.黒沢ともよ)、加藤葉月 (CV.朝井彩加)、川島緑輝 (CV.豊田萌絵)、高坂麗奈 (CV.安済知佳)]「響け！ユーフォニアム」,STD 3 | STD 6 | STD 9+ | STD 12+,194,LUMINOUS PLUS,
1568,イロドリミドリ,Presence,小仏 凪(CV:佐倉 薫),STD 2 | STD 5 | STD 9 | STD 12+,142,LUMINOUS PLUS,
1567,POPS & ANIME,ReCoda,TRUE「響け！ユーフォニアム３」,STD 2 | STD 6 | STD 8+ | STD 12,142,LUMINOUS PLUS,
1566,ゲキマイ,チューリングの跡,Frums,STD 4 | STD 7 | STD 14 | STD 15,180,LUMINOUS PLUS,图灵
1565,ORIGINAL,黎命に殉ず,Koke,STD 4 | STD 8 | STD 13+ | STD 15,240,LUMINOUS PLUS,黎命殉|老公|巴西安
1564,ORIGINAL,Elusive Enforcer,K-forest vs. Reku Mochizuki,STD 3 | STD 7+ | STD 12 | STD 14,185,LUMINOUS PLUS,
1563,ORIGINAL,Malleus Maleficarum,Felysrator,STD 3 | STD 7 | STD 11+ | STD 14+,213,LUMINOUS PLUS,
1562,ORIGINAL,Overhea[r]t,打打だいず,STD 3 | STD 7+ | STD 12 | STD 14+,185,LUMINOUS PLUS,
1561,ORIGINAL,DRE4M1N9,Lamanya,STD 3 | STD 7+ | STD 12+ | STD 13+,67,LUMINOUS PLUS,
1560,niconico,アプリコット,いよわ,STD 3 | STD 6 | STD 10 | STD 13+,160,LUMINOUS PLUS,
1559,niconico,熱異常,いよわ,STD 3 | STD 7 | STD 11+ | STD 14,183,LUMINOUS PLUS,热异常
1558,niconico,1000年生きてる,いよわ,STD 2 | STD 6 | STD 9+ | STD 12+,100,LUMINOUS PLUS,
1557,niconico,匿名M,ピノキオピー,STD 3 | STD 6 | STD 8+ | STD 13,140,LUMINOUS PLUS,
1556,niconico,おくすり飲んで寝よう,もちうつね,STD 3 | STD 6 | STD 9 | STD 12+,130,LUMINOUS PLUS,
1555,ゲキマイ,Stardust:RAY,kanone vs. BlackY,STD 4 | STD 9 | STD 13+ | STD 15,164,LUMINOUS PLUS,雅迪|刹那|老婆|星尘|星尘光
1554,WORLD'S END,強風オールバック,ゆこぴ,WE 【避】☆☆,,LUMINOUS PLUS,强风大背头|强风
1553,WORLD'S END,強風オールバック,ゆこぴ,WE 【弾】☆☆☆,,LUMINOUS PLUS,强风大背头|强风
1552,WORLD'S END,強風オールバック,ゆこぴ,WE 【戻】☆☆☆,,LUMINOUS PLUS,强风大背头|强风
1551,niconico,デビルじゃないもん,"DECO*27, ピノキオピー",STD 3 | STD 6 | STD 9+ | STD 12,154,LUMINOUS PLUS,
1550,ORIGINAL,コメクエスト,ELEMENTAS feat.miko,STD 3 | STD 6 | STD 10+ | STD 13+,157,LUMINOUS PLUS,
1549,ORIGINAL,リ・フィクション・O,sasakure.UK feat.ピリオ,STD 5 | STD 9+ | STD 13+ | STD 15,244,LUMINOUS PLUS,铁锭
1548,ORIGINAL,わたしはオッセルヴァトリーチェ！,アオワイファイ feat.秋山雫,STD 3 | STD 6 | STD 10 | STD 13,195,LUMINOUS PLUS,
1547,ORIGINAL,イーヴィルガール,Fushi feat.吉乃,STD 3 | STD 7 | STD 11 | STD 14,180,LUMINOUS PLUS,
1546,ORIGINAL,幻想ロードオブキング,DJ SHARPNEL feat. 相川なつ,STD 4 | STD 7+ | STD 11 | STD 14+,210,LUMINOUS PLUS,地雷|大扔子|保护交互
1545,ORIGINAL,バッドトリッパー,マイキP,STD 2 | STD 5 | STD 8 | STD 12,120,LUMINOUS PLUS,
1544,ゲキマイ,其のエメラルドを見よ,庭師,STD 4 | STD 8+ | STD 12+ | STD 15,183,LUMINOUS PLUS,其见|三小只
1543,ゲキマイ,夏宵スターマイン,曲：本多友紀（Arte Refact）／歌：オンゲキシューターズ,STD 2 | STD 6 | STD 9+ | STD 12+,136,LUMINOUS PLUS,
1542,イロドリミドリ,The Greatest Night,御形 アリシアナ(CV:福原 綾香),STD 3 | STD 6 | STD 10+ | STD 13,205,LUMINOUS PLUS,
1541,VARIETY,ヒュブリスの頂に聳えるのは,qfeileadh feat.のあ,STD 3 | STD 7 | STD 12+ | STD 14+,158,LUMINOUS PLUS,西伯利斯
1540,VARIETY,Rrhar'il,Team Grimoire「Phigros」,STD 4 | STD 9+ | STD 12+ | STD 15,190,LUMINOUS PLUS,rr|猫娘|屁股肉|rrhar
1539,東方Project,マツヨイナイトバグ,ビートまりおとまろん,STD 3 | STD 7 | STD 11 | STD 14,190,LUMINOUS PLUS,
1538,niconico,寝起きヤシの木,ゆこぴ,STD 3 | STD 6 | STD 9 | STD 12+,160,LUMINOUS PLUS,
